A00; Cólera
S45.3 ; Traumatismo de Veia Superficial ao Nível do Ombro e do Braço
S45.7 ; Traumatismo de Múltiplos Vasos Sangüíneos ao Nível do Ombro e do Braço
S45.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível do Ombro e do Braço
S45.9 ; Traumatismo de Vaso Sangüíneo Não Especificado ao Nível do Ombro e do Braço
S46 ; Traumatismo de Tendão e Músculo ao Nível do Ombro e do Braço
S46.0 ; Traumatismo do Tendão do Manguito Rotador do Ombro
S46.1 ; Traumatismo do Músculo e Tendão da Cabeça Longa do Bíceps
S46.2 ; Traumatismo do Músculo e Tendão de Outras Partes do Bíceps
S46.3 ; Traumatismo do Músculo e Tendão do Tríceps
S46.7 ; Traumatismo de Múltiplos Músculos e Tendões ao Nível do Ombro e do Braço
S46.8 ; Traumatismo de Outros Músculos e Tendões ao Nível do Ombro e do Braço
S46.9 ; Traumatismo de Músculo e Tendão Não Especificado ao Nível do Ombro e do Braço
S47 ; Lesão Por Esmagamento do Ombro e do Braço
S48 ; Amputação Traumática do Ombro e do Braço
S48.0 ; Amputação Traumática da Articulação do Ombro
S48.1 ; Amputação Traumática de Localização Entre o Ombro e o Cotovelo
S48.9 ; Amputação Traumática do Ombro e do Braço, de Localização Não Especificada
S49 ; Outros Traumatismos e os Não Especificados do Ombro e do Braço
S49.7 ; Traumatismos Múltiplos do Ombro e do Braço
S49.8 ; Outros Traumatismos Especificados do Ombro e do Braço
S49.9 ; Traumatismo Não Especificado do Ombro e do Braço
S50 ; Traumatismo Superficial do Cotovelo e do Antebraço
S50.0 ; Contusão do Cotovelo
S50.1 ; Contusão de Outras Partes e de Partes Não Especificadas do Antebraço
S50.7 ; Traumatismos Superficiais Múltiplos do Antebraço
S50.8 ; Outros Traumatismos Superficiais do Antebraço
S50.9 ; Traumatismo Superficial do Antebraço, Não Especificado
S51 ; Ferimento do Antebraço
S51.0 ; Ferimento do Cotovelo
S51.7 ; Ferimentos Múltiplos do Antebraço
S51.8 ; Ferimento de Outras Partes do Antebraço
S51.9 ; Ferimento do Antebraço, Parte Não Especificado
S52 ; Fratura do Antebraço
S52.0 ; Fratura da Extremidade Superior do Cúbito (ulna)
S52.1 ; Fratura da Extremidade Superior do Rádio
S52.2 ; Fratura da Diáfise do Cúbito (ulna)
S52.3 ; Fratura da Diáfise do Rádio
S52.4 ; Fratura Das Diáfises do Rádio e do Cúbito (ulna)
S52.5 ; Fratura da Extremidade Distal do Rádio
S52.6 ; Fratura da Extremidade Distal do Rádio e do Cúbito (ulna)
S52.7 ; Fraturas Múltiplas do Antebraço
S52.8 ; Fratura de Outras Partes do Antebraço
S52.9 ; Fratura do Antebraço, Parte Não Especificada
S53 ; Luxação, Entorse e Distensão Das Articulações e Dos Ligamentos do Cotovelo
S53.0 ; Luxação da Cabeça do Rádio
S53.1 ; Luxação do Cotovelo, Não Especificada
S53.2 ; Ruptura Traumática do Ligamento Colateral do Rádio
S53.3 ; Ruptura Traumática do Ligamento Colateral do Cúbito (ulna)
S53.4 ; Entorse e Distensão do Cotovelo
S54 ; Traumatismo de Nervos ao Nível do Antebraço
S54.0 ; Traumatismo do Nervo Cubital (ulnar) ao Nível do Antebraço
S54.1 ; Traumatismo do Nervo Mediano ao Nível do Antebraço
S54.2 ; Traumatismo do Nervo Radial ao Nível do Antebraço
S54.3 ; Traumatismo do Nervo Cutâneo Sensitivo ao Nível do Antebraço
S54.7 ; Traumatismo de Múltiplos Nervos ao Nível do Antebraço
S54.8 ; Traumatismo de Outros Nervos ao Nível do Antebraço
S54.9 ; Traumatismo de Nervo Não Especificado ao Nível do Antebraço
S55 ; Traumatismo de Vasos Sangüíneos ao Nível do Antebraço
S55.0 ; Traumatismo da Artéria Cubital (ulnar) ao Nível do Antebraço
S55.1 ; Traumatismo da Artéria Radial ao Nível do Antebraço
S55.2 ; Traumatismo de Veia ao Nível do Antebraço
S55.7 ; Traumatismo de Múltiplos Vasos Sangüíneos ao Nível do Antebraço
S55.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível do Antebraço
S55.9 ; Traumatismo de Vasos Sangüíneos Não Especificados ao Nível do Antebraço
S56 ; Traumatismo do Músculo e Tendão ao Nível do Antebraço
S56.0 ; Traumatismo do Músculo Flexor e Tendão do Polegar ao Nível do Antebraço
S56.1 ; Traumatismo do Músculo Flexor e Tendão de Outro(s) Dedo(s) ao Nível do Antebraço
S56.2 ; Traumatismo de Outro Músculo Flexor e Tendão ao Nível do Antebraço
S56.3 ; Traumatismo Dos Músculos Extensor ou Abdutor e Tendões do Polegar ao Nível do Antebraço
S56.4 ; Traumatismo do Músculo Extensor e Tendão de Outro(s) Dedo(s) ao Nível do Antebraço
S56.5 ; Traumatismo de Outros Músculos Extensores e Tendões ao Nível do Antebraço
S56.7 ; Traumatismo de Músculos e Tendões Múltiplos ao Nível do Antebraço
S56.8 ; Traumatismo de Outros Músculos e Tendões e Dos Não Especificados ao Nível do Antebraço
S57 ; Lesão Por Esmagamento do Antebraço
S57.0 ; Lesão Por Esmagamento do Cotovelo
S57.8 ; Lesão Por Esmagamento de Outras Partes do Antebraço
S57.9 ; Lesão Por Esmagamento de Parte Não Especificada do Antebraço
S58 ; Amputação Traumática do Cotovelo e do Antebraço
S58.0 ; Amputação Traumática ao Nível do Cotovelo
S58.1 ; Amputação Traumática do Antebraço Entre o Cotovelo e o Punho
S58.9 ; Amputação Traumática do Antebraço, Nível Não Especificado
S59 ; Outros Traumatismos do Antebraço e os Não Especificados
S59.7 ; Traumatismos Múltiplos do Cotovelo
S59.8 ; Outros Traumatismos Especificados do Antebraço
S59.9 ; Traumatismo Não Especificado do Antebraço
S60 ; Traumatismo Superficial do Punho e da Mão
S60.0 ; Contusão de Dedo(s) Sem Lesão da Unha
S60.1 ; Contusão de Dedo(s) Com Lesão da Unha
S60.2 ; Contusão de Outras Partes do Punho e da Mão
S60.7 ; Traumatismos Superficiais Múltiplos do Punho e da Mão
S60.8 ; Outros Traumatismos Superficiais do Punho e da Mão
S60.9 ; Traumatismo Superficial Não Especificado do Punho e da Mão
S61 ; Ferimento do Punho e da Mão
S61.0 ; Ferimento de Dedo(s) Sem Lesão da Unha
S61.1 ; Ferimento de Dedo(s) Com Lesão da Unha
S61.7 ; Ferimentos Múltiplos do Punho e da Mão
S61.8 ; Ferimento de Outras Partes do Punho e da Mão
S61.9 ; Ferimento do Punho e da Mão, Parte Não Especificada
S62 ; Fratura ao Nível do Punho e da Mão
S62.0 ; Fratura do Osso Navicular (escafoíde) da Mão
S62.1 ; Fratura de Outro(s) Osso(s) do Carpo
S62.2 ; Fratura do Primeiro Metacarpiano
S62.3 ; Fratura de Outros Ossos do Metacarpo
S62.4 ; Fraturas Múltiplas de Ossos Metacarpianos
S62.5 ; Fratura do Polegar
S62.6 ; Fratura de Outros Dedos
S62.7 ; Fraturas Múltiplas de Dedo(s)
S62.8 ; Fratura de Outras Partes e de Partes Não Especificadas do Punho e da Mão
S63 ; Luxação, Entorse e Distensão Das Articulações e Dos Ligamentos ao Nível do Punho e da Mão
S63.0 ; Luxação do Punho
S63.1 ; Luxação do Dedo
S63.2 ; Luxações Múltiplas Dos Dedos
S63.3 ; Ruptura Traumática de Ligamento(s) do Punho e do Carpo
S63.4 ; Ruptura Traumática do Ligamento do Dedo Nas Articulações Metacarpofalangianas e Interfalangianas
S63.5 ; Entorse e Distensão do Punho
S63.6 ; Entorse e Distensão Do(s) Dedo(s)
S63.7 ; Entorse e Distensão de Outras Partes e Das Não Especificadas da Mão
S64 ; Traumatismo de Nervos ao Nível do Punho e da Mão
S64.0 ; Traumatismo do Nervo Cubital (ulnar) ao Nível do Punho e da Mão
S64.1 ; Traumatismo do Nervo Mediano ao Nível do Punho e da Mão
S64.2 ; Traumatismo do Nervo Radial ao Nível do Punho e da Mão
S64.3 ; Traumatismo do Nervo Digital do Polegar
S64.4 ; Traumatismo do Nervo Digital de Outro Dedo
S64.7 ; Traumatismo de Múltiplos Nervos ao Nível de Punho e da Mão
S64.8 ; Traumatismo de Outros Nervos ao Nível do Punho e da Mão
S64.9 ; Traumatismo de Nervo Não Especificado ao Nível do Punho e da Mão
S65 ; Traumatismo de Vasos Sangüíneos ao Nível do Punho e da Mão
S65.0 ; Traumatismo da Artéria Cubital (ulnar) ao Nível do Punho e da Mão
S65.1 ; Traumatismo da Artéria Radial ao Nível do Punho e da Mão
S65.2 ; Traumatismo do Arco Palmar Superficial
S65.3 ; Traumatismo do Arco Palmar Profundo
S65.4 ; Traumatismo de Vaso(s) Sangüíneo(s) do Polegar
S65.5 ; Traumatismo de Vaso(s) Sangüíneo(s) de Outro Dedo
S65.7 ; Traumatismo de Vasos Sangüíneos Múltiplos ao Nível de Punho e da Mão
S65.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível do Punho e de Mão
S65.9 ; Traumatismo de Vaso Sangüíneo Não Especificado ao Nível do Punho e da Mão
S66 ; Traumatismo de Músculo e Tendão ao Nível do Punho e da Mão
S66.0 ; Traumatismo do Músculo Flexor Longo e Tendão do Polegar ao Nível do Punho e da Mão
S66.1 ; Traumatismo do Músculo Flexor e Tendão de Outro Dedo ao Nível do Punho e da Mão
S66.2 ; Traumatismo do Músculo Extensor e Tendão do Polegar ao Nível do Punho e da Mão
S66.3 ; Traumatismo do Músculo Extensor e Tendão de Outro Dedo ao Nível do Punho e da Mão
S66.4 ; Traumatismo do Músculo Intrínseco e Tendão do Polegar ao Nível do Punho e da Mão
S66.5 ; Traumatismo do Músculo Intrínseco e Tendão de Outro Dedo ao Nível do Punho e da Mão
S66.6 ; Traumatismo de Músculos Flexores e Tendões Múltiplos ao Nível do Punho e da Mão
S66.7 ; Traumatismo de Músculos Extensores e Tendões Múltiplos ao Nível do Punho e da Mão
S66.8 ; Traumatismo de Outros Músculos e Tendões ao Nível do Punho e da Mão
S66.9 ; Traumatismo de Músculo e Tendão Não Especificado ao Nível do Punho e da Mão
S67 ; Lesão Por Esmagamento do Punho e da Mão
S67.0 ; Lesão Por Esmagamento do Polegar e de Outro(s) Dedo(s)
S67.8 ; Lesão Por Esmagamento de Outras Partes e Das Não Especificadas do Punho e da Mão
S68 ; Amputação Traumática ao Nível do Punho e da Mão
S68.0 ; Amputação Traumática do Polegar (completa) (parcial)
S68.1 ; Amputação Traumática de um Outro Dedo Apenas (completa) (parcial)
S68.2 ; Amputação Traumática de Dois ou Mais Dedos Somente (completa) (parcial)
S68.3 ; Amputação Traumática Combinada de (partes De) Dedo(s) Associada a Outras Partes do Punho e da Mão
S68.4 ; Amputação Traumática da Mão ao Nível do Punho
S68.8 ; Amputação Traumática de Outras Partes do Punho e da Mão
S68.9 ; Amputação Traumática do Punho e da Mão, Nível Não Especificado
S69 ; Outros Traumatismos e os Não Especificados do Punho e da Mão
S69.7 ; Traumatismos Múltiplos do Punho e da Mão
S69.8 ; Outros Traumatismos Especificados do Punho e da Mão
S69.9 ; Traumatismo Não Especificados do Punho e da Mão
S70 ; Traumatismo Superficial do Quadril e da Coxa
S70.0 ; Contusão do Quadril
S70.1 ; Contusão da Coxa
S70.7 ; Traumatismos Superficiais Múltiplos do Quadril e da Coxa
S70.8 ; Outros Traumatismos Superficiais do Quadril e da Coxa
S70.9 ; Traumatismo Superficial Não Especificado do Quadril e da Coxa
S71 ; Ferimento do Quadril e da Coxa
S71.0 ; Ferimento do Quadril
S71.1 ; Ferimento da Coxa
S71.7 ; Ferimentos Múltiplos do Quadril e da Coxa
S71.8 ; Ferimentos de Outras Partes e Das Não Especificadas da Cintura Pélvica
S72 ; Fratura do Fêmur
S72.0 ; Fratura do Colo do Fêmur
S72.1 ; Fratura Pertrocantérica
S72.2 ; Fratura Subtrocantérica
S72.3 ; Fratura da Diáfise do Fêmur
S72.4 ; Fratura da Extremidade Distal do Fêmur
S72.7 ; Fraturas Múltiplas do Fêmur
S72.8 ; Fraturas de Outras Partes do Fêmur
S72.9 ; Fratura do Fêmur, Parte Não Especificada
S73 ; Luxação, Entorse e Distensão da Articulação e Dos Ligamentos do Quadril
S73.0 ; Luxação da Articulação do Quadril
S73.1 ; Entorse e Distensão do Quadril
S74 ; Traumatismo de Nervos ao Nível do Quadril e da Coxa
S74.0 ; Traumatismo do Nervo Ciático ao Nível do Quadril e da Coxa
S74.1 ; Traumatismo do Nervo Femural ao Nível do Quadril e da Coxa
S74.2 ; Traumatismo do Nervo Sensitivo Cutâneo ao Nível do Quadril e da Coxa
S74.7 ; Traumatismo de Nervos Múltiplos ao Nível do Quadril e da Coxa
S74.8 ; Traumatismo de Outros Nervos ao Nível do Quadril e da Coxa
S74.9 ; Traumatismo de Nervo Não Especificado ao Nível do Quadril e da Coxa
S75 ; Traumatismo de Vasos Sangüíneos ao Nível do Quadril e da Coxa
S75.0 ; Traumatismo da Artéria Femural
S75.1 ; Traumatismo da Veia Femural ao Nível do Quadril e da Coxa
S75.2 ; Traumatismo da Veia Grande Safena ao Nível do Quadril e da Coxa
S75.7 ; Traumatismo de Múltiplos Vasos Sangüíneos ao Nível do Quadril e da Coxa
S75.8 ; Traumatismo de Outros Vaso Sangüíneos ao Nível do Quadril e da Coxa
S75.9 ; Traumatismo de Vaso Sangüíneo Não Especificado ao Nível do Quadril e da Coxa
S76 ; Traumatismo de Músculo e de Tendão ao Nível do Quadril e da Coxa
S76.0 ; Traumatismo do Músculo e do Tendão do Quadril
S76.1 ; Traumatismo do Músculo e do Tendão do Quadríceps
S76.2 ; Traumatismo do Músculo e do Tendão do Adutor da Coxa
S76.3 ; Traumatismo do Músculo e do Tendão Dos Músculos Posteriores ao Nível da Coxa
S76.4 ; Traumatismo de Outros Músculos e Tendões e os Não Especificados ao Nível da Coxa
S76.7 ; Traumatismo de Múltiplos Músculos e Tendões ao Nível do Quadril e da Coxa
S77 ; Lesão Por Esmagamento do Quadril e da Coxa
S77.0 ; Lesão Por Esmagamento do Quadril
S77.1 ; Lesão Por Esmagamento da Coxa
S77.2 ; Lesão Por Esmagamento do Quadril e da Coxa
S78 ; Amputação Traumática do Quadril e da Coxa
S78.0 ; Amputação Traumática na Articulação do Quadril
S78.1 ; Amputação Traumática Localizada Entre o Joelho e o Quadril
S78.9 ; Amputação Traumática do Quadril e Coxa Nível Não Especificado
S79 ; Outros Traumatismos e os Não Especificados do Quadril e da Coxa
S79.7 ; Traumatismos Múltiplos do Quadril e da Coxa
S79.8 ; Outros Traumatismos Especificados do Quadril e da Coxa
S79.9 ; Traumatismo Não Especificado do Quadril e da Coxa
S80 ; Traumatismo Superficial da Perna
S80.0 ; Contusão do Joelho
S80.1 ; Contusão de Outras Partes e de Partes Não Especificadas da Perna
S80.7 ; Traumatismos Superficiais Múltiplos da Perna
S80.8 ; Outros Traumatismos Superficiais da Perna
S80.9 ; Traumatismo Superficial Não Especificado da Perna
S81 ; Ferimento da Perna
S81.0 ; Ferimento do Joelho
S81.7 ; Ferimentos Múltiplos da Perna
S81.8 ; Ferimento de Outras Partes da Perna
S81.9 ; Ferimento da Perna, Parte Não Especificada
S82 ; Fratura da Perna, Incluindo Tornozelo
S82.0 ; Fratura da Rótula (patela)
S82.1 ; Fratura da Extremidade Proximal da Tíbia
S82.2 ; Fratura da Diáfise da Tíbia
S82.3 ; Fratura da Extremidade Distal da Tíbia
S82.4 ; Fratura do Perônio (fíbula)
S82.5 ; Fratura do Maléolo Medial
S82.6 ; Fratura do Maléolo Lateral
S82.7 ; Fraturas Múltiplas da Perna
S82.8 ; Fratura de Outras Partes da Perna
S82.9 ; Fratura da Perna, Parte Não Especificada
S83 ; Luxação, Entorse e Distensão Das Articulações e Dos Ligamentos do Joelho
S83.0 ; Luxação da Rótula (patela)
S83.1 ; Luxação do Joelho
S83.2 ; Ruptura do Menisco, Atual
S83.3 ; Ruptura Atual da Cartilagem da Articulação do Joelho
S83.4 ; Entorse e Distensão Envolvendo Ligamento Colateral (peronial) (tibial) do Joelho
S83.5 ; Entorse e Distensão Envolvendo Ligamento Cruzado (anterior) (posterior) do Joelho
S83.6 ; Entorse e Distensão de Outras Partes e Das Não Especificadas do Joelho
S83.7 ; Traumatismo de Estruturas Múltiplas do Joelho
S84 ; Traumatismo de Nervos Periféricos da Perna
S84.0 ; Traumatismo do Nervo Tibial ao Nível da Perna
S84.1 ; Traumatismo do Nervo Peronial ao Nível da Perna
S84.2 ; Traumatismo do Nervo Cutâneo Sensitivo ao Nível da Perna
S84.7 ; Traumatismo de Múltiplos Nervos ao Nível da Perna
S84.8 ; Traumatismo de Outros Nervos ao Nível da Perna
S84.9 ; Traumatismo de Nervo Não Especificado ao Nível da Perna
S85 ; Traumatismo de Vasos Sangüíneos da Perna
S85.0 ; Traumatismo da Artéria Poplítea
S85.1 ; Traumatismo da Artéria Tibial (anterior) (posterior)
S85.2 ; Traumatismo da Artéria Peronial
S85.3 ; Traumatismo da Veia Grande Safena ao Nível da Perna
S85.4 ; Traumatismo da Veia Safena Menor ao Nível da Perna
S85.5 ; Traumatismo da Veia Poplítea
S85.7 ; Traumatismo de Múltiplos Vasos Sangüíneos ao Nível da Perna
S85.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível da Perna
S85.9 ; Traumatismo de Vasos Sangüíneos Não Especificados ao Nível da Perna
S86 ; Traumatismos de Músculo e de Tendão ao Nível da Perna
S86.0 ; Traumatismo do Tendão de Aquiles
S86.1 ; Traumatismo de Outro(s) Músculo(s) e Tendão(ões) do Grupo Muscular Posterior ao Nível da Perna
S86.2 ; Traumatismo Do(s) Músculo(s) e Tendão(ões) do Grupo Muscular Anterior ao Nível da Perna
S86.3 ; Traumatismo Do(s) Músculo(s) e Tendão(ões) do Grupo Muscular Peronial ao Nível da Perna
S86.7 ; Traumatismo de Múltiplos Músculos e Tendões ao Nível da Perna
S86.8 ; Traumatismos de Outros Músculos e Tendões ao Nível da Perna
